cn_kodu,ulke,sektor,aciklama,dogrudan,dolayli,toplam,rota,kaynak_belge,kaynak_yeri,durum
721912,Turkiye,Iron and steel,Flat-rolled products of stainless steel; of a width of>= 600 mm; not further worked than hot-rolled; in coils; of a thickness of >= 4;7 mm and <= 10 mm,5.470,,5.470,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
721913,Turkiye,Iron and steel,Flat-rolled products of stainless steel; of a width of >= 600 mm; not further worked than hot-rolled; in coils; of a thickness of >= 3 mm and < 4;75 mm,5.470,,5.470,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
721914,Turkiye,Iron and steel,Flat-rolled products of stainless steel; of a width of >= 600 mm; not further worked than hot-rolled; in coils; of a thickness of < 3 mm,5.470,,5.470,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
721921,Turkiye,Iron and steel,Flat-rolled products of stainless steel; of a width of >= 600 mm; not further worked than hot-rolled; not in coils; of a thickness of > 10 mm,5.470,,5.470,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
721922,Turkiye,Iron and steel,Flat-rolled products of stainless steel; of a width of >= 600 mm; not further worked than hot-rolled; not in coils; of a thickness of >= 4;75 mm and <= 10 mm,5.470,,5.470,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72192300,Turkiye,Iron and steel,Flat-rolled products of stainless steel; of a width of >= 600 mm; not further worked than hot-rolled; not in coils; of a thickness of >= 3 mm and < 4;75 mm,5.470,,5.470,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72192400,Turkiye,Iron and steel,Flat-rolled products of stainless steel; of a width of >= 600 mm; not further worked than hot-rolled; not in coils; of a thickness of < 3 mm,5.470,,5.470,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72193100,Turkiye,Iron and steel,Flat-rolled products of stainless steel; of a width of >= 600 mm; not further worked than cold-rolled cold-reduced; of a thickness of >= 4;75 mm,5.540,,5.540,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
721932,Turkiye,Iron and steel,Flat-rolled products of stainless steel; of a width of >= 600 mm; not further worked than cold-rolled cold-reduced; of a thickness of >= 3 mm but < 4;75 mm,5.540,,5.540,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
721933,Turkiye,Iron and steel,Flat-rolled products of stainless steel; of a width of >= 600 mm; not further worked than cold-rolled cold-reduced; of a thickness of > 1 mm but < 3 mm,5.540,,5.540,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
721934,Turkiye,Iron and steel,Flat-rolled products of stainless steel; of a width of >= 600 mm; not further worked than cold-rolled cold-reduced; of a thickness of >= 0;5 mm but <= 1 mm,5.540,,5.540,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
721935,Turkiye,Iron and steel,Flat-rolled products of stainless steel; of a width of >= 600 mm; not further worked than cold-rolled cold-reduced; of a thickness of < 0;5 mm,5.540,,5.540,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
721990,Turkiye,Iron and steel,Flat-rolled products of stainless steel; of a width of >= 600 mm; hot-rolled or cold-rolled cold-reduced and further worked,5.540,,5.540,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
7220,Turkiye,Iron and steel,Flat-rolled products of stainless steel; of a width of < 600 mm; hot-rolled or cold-rolled cold-reduced,seebelow,seebelow,seebelow,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72201100,Turkiye,Iron and steel,Flat-rolled products of stainless steel; of a width of < 600 mm; not further worked than hot-rolled; of a thickness of >= 4;75 mm,5.470,,5.470,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72201200,Turkiye,Iron and steel,Flat-rolled products of stainless steel; of a width of < 600 mm; not further worked than hot-rolled; of a thickness of < 4;75 mm,5.470,,5.470,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
722020,Turkiye,Iron and steel,Flat-rolled products of stainless steel; of a width of < 600 mm; not further worked than cold-rolled cold-reduced,5.540,,5.540,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
722090,Turkiye,Iron and steel,Flat-rolled products of stainless steel; of a width of < 600 mm; hot-rolled or cold-rolled cold-reduced and further worked,5.540,,5.540,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
7221,Turkiye,Iron and steel,Bars and rods of stainless steel; hot-rolled; in irregularly wound coils,5.310,,5.310,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
7222,Turkiye,Iron and steel,Other bars and rods of stainless steel; angles; shapes and sections of stainless steel; n.e.s.,seebelow,seebelow,seebelow,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
722211,Turkiye,Iron and steel,Bars and rods of stainless steel; only hot-rolled; only hot-drawn or only hot-extruded; of circular cross-section,5.310,,5.310,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
722219,Turkiye,Iron and steel,Bars and rods of stainless steel; only hot-rolled; only hot-drawn or only extruded (excl. of circular cross-section),5.310,,5.310,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
722220,Turkiye,Iron and steel,Other bars and rods of stainless steel; not further worked than cold-formed or cold-finished,5.310,,5.310,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
722230,Turkiye,Iron and steel,Other bars and rods of stainless steel; cold-formed or cold-finished and further worked; or not further worked than forged; or forged; or hot-formed by other means and further worked; n.e.s.,5.970,,5.970,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
722240,Turkiye,Iron and steel,Angles; shapes and sections of stainless steel; n.e.s.,5.310,,5.310,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
7223,Turkiye,Iron and steel,Wire of stainless steel; in coils (excl. bars and rods),seebelow,seebelow,seebelow,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
722300,Turkiye,Iron and steel,Wire of stainless steel; in coils (excl. bars and rods),5.310,,5.310,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
7224,Turkiye,Iron and steel,Steel; alloy; other than stainless; in ingots or other primary forms; semi-finished products of alloy steel other than stainless (excl. waste and scrap in ingot form; and products obtained by continuous casting),seebelow,seebelow,seebelow,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
722410,Turkiye,Iron and steel,Steel; alloy; other than stainless; in ingots or other primary forms (excl. waste and scrap in ingot form; and products obtained by continuous casting),6.950,,6.950,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72249002,Turkiye,Iron and steel,Semi-finished products of tool steel,6.450,,6.450,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72249003,Turkiye,Iron and steel,Semi-finished products of high-speed steel; of square or rectangular cross-section; hot-rolled or obtained by continuous casting the width measuring < twice the thickness,6.450,,6.450,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72249005,Turkiye,Iron and steel,Semi-finished products of steel containing by weight <= 0;7% of carbon; 0;5% to 1;2% of manganese; 0;6% to 2;3% of silicon; or of steel containing by weight >= 0;0008% of boron with any other element < the minimum content referred to in Note 1 f to chapter 72; of square or rectangular cross-section; hot rolled or obtained by continuous casting; the width measuring < twice the thickness,6.450,,6.450,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72249007,Turkiye,Iron and steel,Semi-finished products of alloy steel other than stainless steel; of square or rectangular cross-section; hot-rolled or obtained by continuous casting; the width measuring < twice the thickness (excl. of tool steel; high-speed steel and articles of subheading 7224.90.05),6.450,,6.450,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72249014,Turkiye,Iron and steel,Semi-finished products of alloy steel other than stainless steel; of square or rectangular cross-section; hot-rolled or obtained by continuous casting; the width measuring >= twice the thickness (excl. of tool steel),6.450,,6.450,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72249018,Turkiye,Iron and steel,Semi-finished products of alloy steel other than stainless steel; of square or rectangular cross-section; forged (excl. of tool steel),6.950,,6.950,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72249031,Turkiye,Iron and steel,Semi-finished products of steel containing by weight 0;9% to 1;15% carbon; 0;5% to 2% of chromium and; if present; <= 0;5% of molybdenum; cut into shapes other than square or rectangular; hot-rolled or obtained by continuous casting,6.450,,6.450,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72249038,Turkiye,Iron and steel,Semi-finished products of alloy steel; other than stainless steel; cut into shapes other than square or rectangular; hot-rolled or obtained by continuous casting (excl. of tool steel and products containing by weight 0;9% to 1;15% of carbon; 0;5% to 2% of chromium and; if present; <= 0;5% of molybdenum),6.450,,6.450,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72249090,Turkiye,Iron and steel,Semi-finished products of alloy steel; other than stainless steel; forged (excl. of tool steel and products of square or rectangular; circular or polygamol cross-section),6.950,,6.950,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
7225,Turkiye,Iron and steel,Flat-rolled products of alloy steel other than stainless; of a width of >= 600 mm; hot-rolled or cold-rolled cold-reduced,seebelow,seebelow,seebelow,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72251100,Turkiye,Iron and steel,Flat-rolled products of silicon-electrical steel; of a width of >= 600 mm; grain-oriented,8.500,,8.500,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72251910,Turkiye,Iron and steel,Flat-rolled products of silicon-electrical steel; of a width of >= 600 mm; hot-rolled,6.450,,6.450,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72251990,Turkiye,Iron and steel,Flat-rolled products of silicon-electrical steel; of a width of >= 600 mm; cold-rolled cold-reduced; non-grain-oriented,6.520,,6.520,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
722530,Turkiye,Iron and steel,Flat-rolled products of alloy steel other than stainless; of a width of >= 600 mm; not further worked than hot-rolled; in coils (excl. products of silicon-electrical steel),6.450,,6.450,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
722540,Turkiye,Iron and steel,Flat-rolled products of alloy steel other than stainless; of a width of >= 600 mm; not further worked than hot-rolled; not in coils (excl. products of silicon-electrical steel),6.450,,6.450,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
722550,Turkiye,Iron and steel,Flat-rolled products of alloy steel other than stainless; of a width of >= 600 mm; not further worked than cold-rolled cold-reduced (excl. products of silicon-electrical steel),6.520,,6.520,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72259100,Turkiye,Iron and steel,Flat-rolled products of alloy steel other than stainless; of a width of >= 600 mm; hot-rolled or cold-rolled cold-reduced and electrolytically plated or coated with zinc (excl. products of silicon-electrical steel),6.520,,6.520,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72259200,Turkiye,Iron and steel,Flat-rolled products of alloy steel other than stainless; of a width of >= 600 mm; hot-rolled or cold-rolled cold-reduced and plated or coated with zinc (excl. electrolytically plated or coated and products of silicon-electrical steel),6.520,,6.520,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72259900,Turkiye,Iron and steel,Flat-rolled products of alloy steel other than stainless; of a width of >= 600 mm; hot-rolled or cold-rolled cold-reduced and further worked (excl. plated or coated with zinc and products of silicon-electrical steel),6.520,,6.520,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
7226,Turkiye,Iron and steel,Flat-rolled products of alloy steel other than stainless; of a width of < 600 mm; hot-rolled or cold-rolled cold-reduced,seebelow,seebelow,seebelow,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72261100,Turkiye,Iron and steel,Flat-rolled products of silicon-electrical steel; of a width of < 600 mm; hot-rolled or cold-rolled cold-reduced; grain-oriented,8.500,,8.500,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72261910,Turkiye,Iron and steel,Flat-rolled products of silicon-electrical steel; of a width of < 600 mm; not further worked than hot-rolled,6.450,,6.450,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72261980,Turkiye,Iron and steel,Flat-rolled products of silicon-electrical steel; of a width of < 600 mm; cold-rolled cold-reduced; whether or not further worked; or hot-rolled and further worked; non-grain-oriented,6.520,,6.520,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72262000,Turkiye,Iron and steel,Flat-rolled products of high-speed steel; of a width of <= 600 mm; hot-rolled or cold-rolled cold-reduced,6.450,,6.450,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
722691,Turkiye,Iron and steel,Flat-rolled products of alloy steel other than stainless; of a width of < 600 mm; not further worked than hot-rolled (excl. products of high-speed steel or silicon-electrical steel),6.450,,6.450,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72269200,Turkiye,Iron and steel,Flat-rolled products of alloy steel other than stainless; of a width of < 600 mm; not further worked than cold-rolled cold-reduced (excl. products of high-speed steel or silicon-electrical steel),6.520,,6.520,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
722699,Turkiye,Iron and steel,Flat-rolled products of alloy steel other than stainless; of a width of < 600 mm; hot-rolled or cold-rolled cold-reduced and further worked (excl. products of high-speed steel or silicon-electrical steel),6.520,,6.520,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
7227,Turkiye,Iron and steel,Bars and rods of alloy steel other than stainless; hot-rolled; in irregularly wound coils,6.290,,6.290,(C)/(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
7228,Turkiye,Iron and steel,Other bars and rods of alloy steel other than stainless; angles; shapes and sections of alloy steel other than stainless; n.e.s.; hollow drill bars and rods; of alloy or non-alloy steel,seebelow,seebelow,seebelow,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72281020,Turkiye,Iron and steel,Bars and rods of high-speed steel; not further worked than hot-rolled; hot-drawn or extruded; and hot-rolled; hot-drawn or extruded; not further worked than clad (excl. semi-finished products; flat-rolled products and hot-rolled bars and rods in irregularly wound coils),6.290,,6.290,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72281050,Turkiye,Iron and steel,Bars and rods of high-speed steel; forged (excl. semi-finished products; flat-rolled products and hot-rolled bars and rods in irregularly wound coils),6.950,,6.950,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72281090,Turkiye,Iron and steel,Bars and rods of high-speed steel; not further worked than cold-formed or cold-finished; whether or not further worked; or hot-formed and further worked (excl. forged products; semi-finished products; flat-rolled products and hot-rolled bars and rods in irregularly wound coils),6.290,,6.290,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
722820,Turkiye,Iron and steel,Bars and rods of silico-manganese steel (excl. semi-finished products; flat-rolled products and hot-rolled bars and rods in irregularly wound coils),6.290,,6.290,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
722830,Turkiye,Iron and steel,Bars and rods of alloy steel other than stainless; not further worked than hot-rolled; hot-drawn or extruded (excl. products of high-speed steel or silico-manganese steel; semi-finished products; flat-rolled products and hot-rolled bars and rods in irregularly wound coils),6.290,,6.290,(C)/(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
722840,Turkiye,Iron and steel,Bars and rods of alloy steel other than stainless; not further worked than forged (excl. products of high-speed steel or silico-manganese steel; semi-finished products; flat-rolled products and hot-rolled bars and rods in irregularly wound coils),6.950,,6.950,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
722850,Turkiye,Iron and steel,Bars and rods of alloy steel other than stainless; not further worked than cold-formed or cold-finished (excl. products of high-speed steel or silico-manganese steel; semi-finished products; flat-rolled products and hot-rolled bars and rods in irregularly wound coils),6.290,,6.290,(C)/(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
722860,Turkiye,Iron and steel,Bars and rods of alloy steel other than stainless; cold-formed or cold-finished and further worked or hot-formed and further worked; n.e.s. (excl. products of high-speed steel or silico-manganese steel; semi-finished products; flat-rolled products and hot-rolled bars and rods in irregularly wound coils),6.290,,6.290,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
722870,Turkiye,Iron and steel,Angles; shapes and sections of alloy steel other than stainless; n.e.s.,6.290,,6.290,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
72288000,Turkiye,Iron and steel,Hollow drill bars and rods; of alloy or non-alloy steel,6.290,,6.290,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
7229,Turkiye,Iron and steel,Wire of alloy steel other than stainless; in coils (excl. bars and rods),6.290,,6.290,(C)/(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
7301,Turkiye,Iron and steel,Sheet piling of iron or steel; whether or not drilled; punched or made from assembled elements; welded angles; shapes and sections; of iron or steel,2.510,,2.510,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
7302,Turkiye,Iron and steel,Railway or tramway track construction material of iron or steel; the following : rails; check-rails and rack rails; switch blades; crossing frogs; point rods and other crossing pieces; sleepers cross-ties; fish-plates; chairs; chair wedges; sole plates base plates; rail clips; bedplates; ties and other material specialised for jointing or fixing rails,5.360,,5.360,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
7303,Turkiye,Iron and steel,Tubes; pipes and hollow profiles; of cast iron,seebelow,seebelow,seebelow,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
730300,Turkiye,Iron and steel,Tubes; pipes and hollow profiles; of cast iron,2.480,,2.480,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
7304,Turkiye,Iron and steel,Tubes; pipes and hollow profiles; seamless; of iron or steel (excl. products of cast iron),seebelow,seebelow,seebelow,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
73041100,Turkiye,Iron and steel,Line pipe of a kind used for oil or gas pipelines; seamless; of stainless steel,5.690,,5.690,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
730419,Turkiye,Iron and steel,Line pipe of a kind used for oil or gas pipelines; seamless; of iron or steel (excl. products of stainless steel or of cast iron),2.340,,2.340,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
73042200,Turkiye,Iron and steel,Drill pipe; seamless; of stainless steel; of a kind used in drilling for oil or gas,5.690,,5.690,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
73042300,Turkiye,Iron and steel,Drill pipe; seamless; of a kind used in drilling for oil or gas; of iron or steel (excl. products of stainless steel or of cast iron),2.340,,2.340,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
73042400,Turkiye,Iron and steel,Casing and tubing; seamless; of a kind used for drilling for oil or gas; of stainless steel,5.690,,5.690,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
730429,Turkiye,Iron and steel,Casing and tubing; seamless; of iron or steel; of a kind used in drilling for oil or gas (excl. products of cast iron),2.340,,2.340,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
730431,Turkiye,Iron and steel,Tubes; pipes and hollow profiles; seamless; of circular cross-section; of iron or non-alloy steel; cold-drawn or cold-rolled cold-reduced (excl. cast iron products and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used for drilling for oil or gas),2.340,,2.340,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
730439,Turkiye,Iron and steel,Tubes; pipes and hollow profiles; seamless; of circular cross-section; of iron or non-alloy steel; not cold-drawn or cold-rolled cold-reduced (excl. cast iron products; line pipe of a kind used for oil or gas pipelines; casing and tubing of a kind used for drilling for oil or gas),2.340,,2.340,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
73044100,Turkiye,Iron and steel,Tubes; pipes and hollow profiles; seamless; of circular cross-section; of stainless steel; cold-drawn or cold-rolled cold-reduced (excl. line pipe of a kind used for oil or gas pipelines; casing and tubing of a kind used for drilling for oil or gas),5.690,,5.690,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
730449,Turkiye,Iron and steel,Tubes; pipes and hollow profiles; seamless; of circular cross-section; of stainless steel; not cold-drawn or cold-rolled cold-reduced (excl. line pipe of a kind used for oil or gas pipelines or of a kind used for drilling for oil or gas),5.690,,5.690,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
730451,Turkiye,Iron and steel,Tubes; pipes and hollow profiles; seamless; of circular cross-section; of alloy steel other than stainless; cold-drawn or cold-rolled cold-reduced (excl. line pipe of a kind used for oil or gas pipelines; casing and tubing of a kind used for drilling for oil),2.360,,2.360,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
730459,Turkiye,Iron and steel,Tubes; pipes and hollow profiles; seamless; of circular cross-section; of alloy steel other than stainless; not cold-drawn or cold-rolled cold-reduced (excl. line pipe of a kind used for oil or gas pipelines; casing and tubing of a kind used for drilling for oil),2.360,,2.360,(C)/(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
73049000,Turkiye,Iron and steel,Tubes; pipes and hollow profiles; seamless; of non-circular cross-section; of iron or steel (excl. products of cast iron),2.340,,2.340,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
7305,Turkiye,Iron and steel,Tubes and pipes; having circular cross-sections and an external diameter of > 406;4 mm; of flat-rolled products of iron or steel e.g.; welded; riveted or similarly closed,2.182,,2.182,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
7306,Turkiye,Iron and steel,Tubes; pipes and hollow profiles e.g.; open seam or welded; riveted or similarly closed; of iron or steel (excl. of cast iron; seamless tubes and pipes and tubes having internal and external circular cross-sections and an external diameter of > 406;4 mm),seebelow,seebelow,seebelow,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
73061100,Turkiye,Iron and steel,Line pipe of a kind used for oil or gas pipelines; welded; of flat-rolled products of stainless steel; of an external diameter of <= 406;4 mm,5.920,,5.920,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
73061900,Turkiye,Iron and steel,Line pipe of a kind used for oil or gas pipelines; welded; of flat-rolled products of iron or steel; of an external diameter of <= 406;4 mm (excl. products of stainless steel or of cast iron),2.244,,2.244,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
73062100,Turkiye,Iron and steel,Casing and tubing of a kind used in drilling for oil or gas; welded; of flat-rolled products of stainless steel; of an external diameter of <= 406;4 mm,5.920,,5.920,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
73062900,Turkiye,Iron and steel,Casing and tubing of a kind used in drilling for oil or gas; welded; of flat-rolled products of iron or steel; of an external diameter of <= 406;4 mm (excl. products of stainless steel or of cast iron),2.244,,2.244,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
73063012,Turkiye,Iron and steel,Precision tubes; welded; of circular cross-section; of iron or non-alloy steel; cold-drawn or cold-rolled cold-reduced,2.244,,2.244,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
73063018,Turkiye,Iron and steel,Precision tubes; welded; of circular cross-section; of iron or non-alloy steel (excl. cold-drawn or cold-rolled),2.244,,2.244,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
73063041,Turkiye,Iron and steel,Threaded or threadable tubes gas pipe; welded; of circular cross-section; of iron or non-alloy steel; plated or coated with zinc,2.244,,2.244,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
73063049,Turkiye,Iron and steel,Threaded or threadable tubes gas pipe; welded; of circular cross-section; of iron or non-alloy steel (excl. products plated or coated with zinc),2.244,,2.244,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
73063072,Turkiye,Iron and steel,Other tubes; pipes and hollow profiles; welded; of circular cross-section; of iron or non-alloy steel; of an external diameter of <= 168;3 mm; plated or coated with zinc (excl. line pipe of a kind used for oil or gas pipelines or casing and tubingof a kind used in drilling for oil or gas),2.244,,2.244,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
73063077,Turkiye,Iron and steel,Other tubes; pipes and hollow profiles; welded; of circular cross-section; of iron or non-alloy steel of an external diameter of <= 168;3 mm (excl. plated or coated with zinc and line pipe of a kind used for oil or gas pipelines; casing and tubing of a kind used in drilling for oil or gas; precision tubes and threaded or threadable tubes gas pipe),2.244,,2.244,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
73063080,Turkiye,Iron and steel,Tubes; pipes and hollow profiles; welded; having a circular cross-section; of iron or steel; of an external diameter of > 168;3 mm but <= 406;4 mm (excl. line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas; or precision steel tubes; electrical conduit tubes or threaded or threadable tubes gas pipe),2.244,,2.244,(C),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
73064020,Turkiye,Iron and steel,Tubes; pipes and hollow profiles; welded; of circular cross-section; of stainless steel; cold-drawn or cold-rolled cold-reduced (excl. products having internal and external circular cross-sections and an external diameter of > 406;4 mm; and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas),5.920,,5.920,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
73064080,Turkiye,Iron and steel,Tubes; pipes and hollow profiles; welded; of circular cross-section; of stainless steel (excl. products cold-drawn or cold-rolled cold-reduced; tubes and pipes having internal and external circular cross-sections and an external diameter of > 406;4 mm; and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas),5.850,,5.850,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
73065021,Turkiye,Iron and steel,Precision steel tubes; welded; of circular cross-section; of alloy steel other than stainless; cold-drawn or cold-rolled cold-reduced,2.244,,2.244,(F),CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
